,Area,Price,Price Type,Rooms,Wrapper
93, Mount Lavinia ,"Rs. 120,000 Per Month ",Per Month,3,Apartment
94, Mount Lavinia ,"Rs. 120,000 Per Month ",Per Month,2,Apartment
95, Colombo 2 ,"Rs. 240,000 Per Month ",Per Month,3,Apartment
96, Colombo 7 ,"Rs. 250,000 Per Month ",Per Month,3,Apartment
97, Colombo 5 ,"Rs. 120,000 Per Month ",Per Month,3,Apartment
98, Mount Lavinia ,"Rs. 90,000 Per Month ",Per Month,2,Apartment
99, Wattala ,"Rs. 90,000 Per Month ",Per Month,3,Apartment
100, Kiribathgoda ,"Rs. 100,000 Per Month ",Per Month,4,Apartment
101, Colombo 3 ,"Rs. 90,000 Per Month ",Per Month,2,Apartment
102, Colombo 5 ,"Rs. 180,000 Per Month ",Per Month,2,Apartment
103, Mount Lavinia ,"Rs. 120,000 Per Month ",Per Month,2,Apartment
104, Mount Lavinia ,"Rs. 80,000 Per Month ",Per Month,1,Apartment
105, Mount Lavinia ,"Rs. 120,000 Per Month ",Per Month,4,Apartment
106,No Record,No Record,No Record,No Record,No_Record
107,No Record,No Record,No Record,No Record,No_Record
108,No Record,No Record,No Record,No Record,No_Record
109,No Record,No Record,No Record,No Record,No_Record
110,No Record,No Record,No Record,No Record,No_Record
